"search_key","type","number","congress","effective_date","year","month","bioguide_id","issue"
"[""china""]","HAMDT","743","115","7/6/2018","2018","06","K000390","National Security"
"[""china""]","HAMDT","744","115","7/6/2018","2018","06","N000189","Armed Forces"
"[""china""]","HAMDT","745","115","7/6/2018","2018","06","B001243","National Security"
"[""china""]","HAMDT","746","115","7/6/2018","2018","06","J000032","National Security"
"[""china""]","HAMDT","747","115","7/6/2018","2018","06","J000032","Armed Forces"
"[""china""]","HAMDT","748","115","7/6/2018","2018","06","D000621","National Security"
"[""china""]","HAMDT","749","115","7/6/2018","2018","06","N000190","Armed Forces"
"[""china""]","HAMDT","753","115","7/6/2018","2018","06","H000324","Energy"
"[""china""]","HAMDT","754","115","7/6/2018","2018","06","R000575","National Security"
"[""china""]","HAMDT","755","115","7/6/2018","2018","06","J000032","Emergency Management"
"[""china""]","HAMDT","756","115","7/6/2018","2018","06","L000578","Energy"
"[""china""]","HAMDT","757","115","7/6/2018","2018","06","G000552","National Security"
"[""china""]","HAMDT","758","115","7/6/2018","2018","06","K000380","National Security"
"[""china""]","HAMDT","759","115","7/6/2018","2018","06","E000293","National Security"
"[""china""]","HAMDT","760","115","7/6/2018","2018","06","M001187","Emergency Management"
"[""china""]","HAMDT","761","115","7/6/2018","2018","06","T000472","Science, Technology, Communications"
"[""china""]","HAMDT","762","115","7/6/2018","2018","06","C001068","National Security"
"[""china""]","HAMDT","763","115","7/6/2018","2018","06","K000380","National Security"
