congress,committee_el,issue,total_mentions
117,"Committee on Science, Space, and Technology","Art, Culture, Religion",110
117,Select Committee on Intelligence,National Security,110
117,Committee on the Judiciary,law,108
117,Select Committee on the Climate Crisis,labor and employment,108
117,"Committee on Commerce, Science, and Transportation",National Security,106
117,Committee on Foreign Relations,law,106
117,Joint Economic Committee,labor and employment,104
117,Permanent Select Committee on Intelligence,"Art, Culture, Religion",104
117,"Committee on Commerce, Science, and Transportation",labor and employment,98
117,Committee on Finance,labor and employment,98
116,NA,health,50
117,Select Committee on Intelligence,"science, technology, communications",98
117,"Committee on Banking, Housing, and Urban Affairs","Art, Culture, Religion",96
117,Select Committee on the Climate Crisis,National Security,96
117,"Committee on Commerce, Science, and Transportation",human rights,94
117,Joint Economic Committee,education,92
117,Select Committee on Intelligence,labor and employment,92
117,"Committee on Science, Space, and Technology",law,88
117,Committee on Foreign Relations,National Security,84
117,Committee on Foreign Relations,labor and employment,84
117,Joint Economic Committee,"science, technology, communications",84
117,Committee on Foreign Relations,"science, technology, communications",82
117,Permanent Select Committee on Intelligence,law,82
117,Joint Committee on Printing,"Art, Culture, Religion",80
117,Select Committee on Ethics,"Art, Culture, Religion",80
117,"Committee on Banking, Housing, and Urban Affairs",law,78
117,Committee on Finance,"science, technology, communications",74
117,"Committee on Science, Space, and Technology",education,74
117,"Committee on Science, Space, and Technology",labor and employment,74
117,Committee on the Judiciary,labor and employment,72
117,Select Committee on Ethics,law,72
117,Committee on the Judiciary,National Security,70
117,"Committee on Science, Space, and Technology","science, technology, communications",68
117,Committee on the Judiciary,education,68
117,Committee on Finance,National Security,66
117,Permanent Select Committee on Intelligence,"science, technology, communications",66
117,Permanent Select Committee on Intelligence,labor and employment,64
117,Committee on Energy and Natural Resources,"Art, Culture, Religion",62
117,Joint Committee on Printing,law,62
117,"Committee on Banking, Housing, and Urban Affairs",labor and employment,60
117,"Committee on Banking, Housing, and Urban Affairs","science, technology, communications",60
117,Joint Committee on Printing,labor and employment,56
117,Committee on Rules,"Art, Culture, Religion",54
117,Joint Committee on Printing,education,54
117,Committee on Energy and Natural Resources,law,52
117,Committee on Ethics,"Art, Culture, Religion",52
117,Committee on Homeland Security and Governmental Affairs,"Art, Culture, Religion",52
117,Permanent Select Committee on Intelligence,National Security,52
117,Select Committee on Ethics,labor and employment,52
117,Select Committee on the Modernization of Congress,"Art, Culture, Religion",52
117,Committee on Rules and Administration,"Art, Culture, Religion",50
117,"Committee on Banking, Housing, and Urban Affairs",National Security,46
117,Committee on House Administration,"Art, Culture, Religion",46
117,Committee on Small Business and Entrepreneurship,"Art, Culture, Religion",46
117,Joint Committee on Printing,health,46
117,Committee on Environment and Public Works,"Art, Culture, Religion",44
117,Committee on Rules,law,44
117,Committee on Small Business and Entrepreneurship,law,44
117,Select Committee on Ethics,human rights,44
117,Committee on Homeland Security and Governmental Affairs,law,42
117,Committee on Veterans' Affairs,"Art, Culture, Religion",42
117,Select Committee on the Modernization of Congress,law,42
117,Committee on Environment and Public Works,law,40
117,Committee on Ethics,law,40
117,Committee on Rules and Administration,law,40
117,Select Committee on Ethics,National Security,40
117,Committee on Environment and Public Works,labor and employment,38
117,Committee on House Administration,law,38
117,Committee on Rules and Administration,labor and employment,38
117,Committee on Veterans' Affairs,law,38
117,Committee on Rules and Administration,education,36
117,Committee on Rules and Administration,"science, technology, communications",36
117,Special Committee on Aging,"Art, Culture, Religion",36
117,Committee on Energy and Natural Resources,National Security,34
117,Committee on Veterans' Affairs,labor and employment,34
117,Committee on Energy and Natural Resources,"science, technology, communications",32
117,Committee on Environment and Public Works,National Security,32
117,Committee on Ethics,human rights,32
117,"Committee on Health, Education, Labor, and Pensions","Art, Culture, Religion",32
117,Committee on Homeland Security and Governmental Affairs,National Security,32
117,Committee on Homeland Security and Governmental Affairs,labor and employment,32
117,Committee on Indian Affairs,"Art, Culture, Religion",32
117,Committee on Small Business and Entrepreneurship,human rights,32
117,Committee on Small Business and Entrepreneurship,labor and employment,32
117,Committee on Small Business and Entrepreneurship,"science, technology, communications",32
117,Committee on Veterans' Affairs,"science, technology, communications",32
117,Joint Committee on the Library,"Art, Culture, Religion",32
117,Special Committee on Aging,law,32
117,Committee on Energy and Natural Resources,education,30
117,Committee on Environment and Public Works,education,30
117,Committee on Ethics,"science, technology, communications",30
117,Committee on Homeland Security and Governmental Affairs,"science, technology, communications",30
117,Committee on Rules,National Security,30
117,Committee on Rules,human rights,30
117,Committee on Rules,labor and employment,30
117,Committee on Small Business,"Art, Culture, Religion",30
117,Committee on Veterans' Affairs,education,30
117,Committee on Ethics,education,28
117,"Committee on Health, Education, Labor, and Pensions",law,28
117,Committee on House Administration,labor and employment,28
117,Committee on Indian Affairs,law,28
117,Committee on Small Business,law,28
117,Select Committee on the Modernization of Congress,education,28
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,"Art, Culture, Religion",28
117,Committee on Indian Affairs,National Security,26
117,Committee on Indian Affairs,labor and employment,26
117,Committee on Small Business,labor and employment,26
117,Select Committee on the Modernization of Congress,labor and employment,26
117,Select Committee on the Modernization of Congress,"science, technology, communications",26
117,"Committee on Health, Education, Labor, and Pensions",labor and employment,24
117,"Committee on Health, Education, Labor, and Pensions","science, technology, communications",24
117,Committee on Indian Affairs,education,24
117,Committee on Small Business,education,24
117,Joint Committee on the Library,labor and employment,24
117,Joint Committee on the Library,law,24
117,"Committee on Health, Education, Labor, and Pensions",National Security,22
117,Committee on House Administration,education,22
117,Committee on House Administration,"science, technology, communications",22
117,Joint Committee on the Library,"science, technology, communications",22
117,Special Committee on Aging,labor and employment,22
