"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Black, Diane [R-TN-6]","115",11.0327,25.673,25.1335,0.132623720880512,0.178410064845809,0.415158718607998,0.406434450751144,"dom","Republican","house of representatives",NA,"Female",73,6,0.775106820108758,"6","TN","B001273"
"Rep. Blum, Rod [R-IA-1]","115",11.348,33.5028,28.4943,0.171589686822766,0.154719574180319,0.456779956807225,0.388493651970943,"dom","Republican","house of representatives",NA,"Male",69,2,0.719467890958488,"1","IA","B001294"
"Rep. Blumenauer, Earl [D-OR-3]","115",12.2812,24.2516,26.5462,0.135672726883818,0.19469554051269,0.384463926187796,0.420840533299513,"prof","Democratic","house of representatives","Committee on Ways and Means","Male",76,22,0.224939467120738,"3","OR","B000574"
"Rep. Blumenauer, Earl [D-OR-3]","116",11.4901,24.5738,26.6867,0.114589147136872,0.183107704321081,0.391611222221337,0.425282667070382,"prof","Democratic","house of representatives","Committee on Ways and Means","Male",76,24,0.0976977385430705,"3","OR","B000574"
"Rep. Blumenauer, Earl [D-OR-3]","117",14.3259,24.6672,28.1211,0.110243810215553,0.213455572740195,0.367540699285695,0.41900372797411,"prof","Democratic","house of representatives","Committee on Ways and Means","Male",76,26,0.0409389638371259,"3","OR","B000574"
"Rep. Blumenauer, Earl [D-OR-3]","118",13.4231,26.8068,28.9211,0.130729763339254,0.194112041277604,0.387654317417026,0.418229302992135,"prof","Democratic","house of representatives","Committee on Ways and Means","Male",76,28,0.184442689556903,"3","OR","B000574"
"Rep. Boebert, Lauren [R-CO-4]","117",12.5997,28.3847,27.853,0.157481918468771,0.18303647306467,0.41234595879257,0.404621926257788,"dom","Republican","house of representatives","Committee on the Budget","Female",38,0,0.753366749539441,"3","CO","B000825"
"Rep. Boebert, Lauren [R-CO-4]","118",11.8541,32.3254,30.19,0.152736477851148,0.159395501626348,0.434661707617814,0.405948169333769,"dom","Republican","house of representatives","Committee on Natural Resources","Female",38,2,0.7906053967525,"3","CO","B000825"
"Rep. Bonamici, Suzanne [D-OR-1]","117",11.9505,28.6712,26.9144,0.151665641548843,0.176950857102244,0.424533987209728,0.398521078481455,"dom","Democratic","house of representatives","Select Committee on the Climate Crisis","Female",70,9,0.0833104652674583,"1","OR","B001278"
"Rep. Bost, Mike [R-IL-12]","115",10.7147,30.8593,24.8464,0.157617581962089,0.161316888536921,0.464607152643322,0.374078969951912,"dom","Republican","house of representatives","Committee on Agriculture","Male",64,2,0.774755553456812,"12","IL","B001295"
"Rep. Bost, Mike [R-IL-12]","116",11.0096,33.1156,27.5326,0.157898111527598,0.153641119820704,0.462134670427127,0.384222814232625,"dom","Republican","house of representatives","Committee on Agriculture","Male",64,4,0.739378839613404,"12","IL","B001295"
"Rep. Bost, Mike [R-IL-12]","117",12.7594,31.355,30.1467,0.118094979450781,0.171819936089674,0.42223099017914,0.405959846647536,"dom","Republican","house of representatives","Committee on Veterans' Affairs","Male",64,6,0.662130058289463,"12","IL","B001295"
"Rep. Bost, Mike [R-IL-12]","118",14.8236,23.0486,28.8074,0.104320203438574,0.222310538289764,0.345661423191766,0.432026538811662,"prof","Republican","house of representatives","Committee on Veterans' Affairs","Male",64,8,0.784640522624245,"12","IL","B001295"
"Rep. Bourdeaux, Carolyn [D-GA-7]","117",18.6709,25.8065,33.6009,0.165949335125046,0.239131381439074,0.330522042060504,0.430350418811957,"prof","Democratic","house of representatives","Committee on Transportation and Infrastructure","Female",54,0,0.236552300715215,"7","GA","B001312"
"Rep. Bowman, Jamaal [D-NY-16]","117",14.5055,24.2553,28.2689,0.110255912474137,0.216405685880184,0.361861696096626,0.421740077458779,"prof","Democratic","house of representatives","Committee on Education and the Workforce","Male",48,0,0.0607468970277125,"16","NY","B001223"
"Rep. Bowman, Jamaal [D-NY-16]","118",12.99,27.938,28.7712,0.146902356175186,0.186373633941523,0.40083961393828,0.412793925855145,"prof","Democratic","house of representatives","Committee on Science, Space, and Technology","Male",48,2,0.0736187629880394,"16","NY","B001223"
