"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Lieu, Ted [D-CA-36]","118",27.7626,44.1148,51.7065,0.298834360753781,0.224645039863478,0.356961199764047,0.418390523715391,"prof","Democratic","house of representatives","Committee on the Judiciary","Male",55,8,0.197323314966655,"36","CA","L000582"
"Rep. Lofgren, Zoe [D-CA-18]","115",24.0119,37.3456,45.5419,0.31532266760777,0.224622307037484,0.349354063181134,0.426027371631166,"prof","Democratic","house of representatives","Committee on House Administration","Female",77,22,0.242799774549646,"19","CA","L000397"
"Rep. Lofgren, Zoe [D-CA-18]","116",23.8155,41.3711,44.5892,0.335373309639109,0.216945931814,0.376867663482613,0.406182760926321,"prof","Democratic","house of representatives","Committee on House Administration","Female",77,24,0.258541653029142,"19","CA","L000397"
"Rep. Lofgren, Zoe [D-CA-18]","117",26.0979,56.4714,53.8774,0.247644945463045,0.191268512763986,0.41387240704042,0.39486127886115,"dom","Democratic","house of representatives","Joint Committee on Printing","Female",77,26,0.171642926247781,"19","CA","L000397"
"Rep. Lofgren, Zoe [D-CA-18]","118",28.772,43.0502,52.4058,0.30283285702117,0.231605655389589,0.346540726597139,0.421850398137624,"prof","Democratic","house of representatives","Committee on Science, Space, and Technology","Female",77,28,0.260862609970835,"18","CA","L000397"
"Rep. Loudermilk, Barry [R-GA-11]","115",22.412,36.9313,38.8489,0.377899942077181,0.228246235444363,0.376112359230163,0.395641405325474,"prof","Republican","house of representatives","Committee on Financial Services","Male",61,2,0.853173271566707,"11","GA","L000583"
"Rep. Loudermilk, Barry [R-GA-11]","116",20.7243,46.9943,41.0024,0.414849459406043,0.190618230984672,0.432244772193173,0.377132397915776,"dom","Republican","house of representatives","Committee on Financial Services","Male",61,4,0.718264954687598,"11","GA","L000583"
"Rep. Love, Mia B. [R-UT-4]","115",18.1878,39.2206,36.8875,0.352850407034384,0.192880890392437,0.415932891813501,0.391190459778038,"dom","Republican","house of representatives",NA,"Female",49,2,0.698453066529641,"4","UT","L000584"
"Rep. Lucas, Frank D. [R-OK-3]","117",35.463,43.2553,55.9681,0.225147312682204,0.263299939786185,0.321154946999221,0.415542885823173,"prof","Republican","house of representatives","Committee on Science, Space, and Technology","Male",64,28,0.494395112534422,"3","OK","L000491"
"Rep. Lucas, Frank D. [R-OK-3]","118",43.0943,34.4901,57.7767,0.208101075506034,0.318365703563065,0.254800865832847,0.426834169369316,"prof","Republican","house of representatives","Committee on Science, Space, and Technology","Male",64,30,0.497915955788439,"3","OK","L000491"
"Rep. Luetkemeyer, Blaine [R-MO-3]","117",24.2781,50.7238,50.1437,0.273860043714631,0.193998520126125,0.405317637507611,0.40068224423033,"dom","Republican","house of representatives","Committee on Small Business","Male",72,12,0.585830567122248,"3","MO","L000569"
"Rep. Luetkemeyer, Blaine [R-MO-3]","118",23.9156,55.1322,46.3381,0.320571982909195,0.190735351469818,0.439698754967648,0.369562703421347,"dom","Republican","house of representatives","Committee on Financial Services","Male",72,14,0.58933328270007,"3","MO","L000569"
"Rep. Lujan Grisham, Michelle [D-NM-1]","115",16.0397,37.5201,34.2818,0.379362025684418,0.182597578829213,0.427132640724575,0.390267503625836,"dom","Democratic","house of representatives",NA,"Female",65,4,NA,"1","NM","L000580"
"Rep. Luna, Anna Paulina [R-FL-13]","118",25.0413,42.079,43.3885,0.343809639446077,0.226600053570394,0.38077510569294,0.392624840736665,"prof","Republican","house of representatives","Committee on Natural Resources","Female",35,0,0.726787494274584,"13","FL","L000596"
"Rep. Luttrell, Morgan [R-TX-8]","118",21.9221,50.6377,43.2044,0.308817762182164,0.189368070522483,0.437419934435859,0.373209403573635,"dom","Republican","house of representatives","Committee on Armed Services","Male",49,0,0.587448374075863,"8","TX","L000603"
"Rep. Lynch, Stephen F. [D-MA-8]","115",16.9988,43.1689,35.3494,0.367762677799535,0.177966784865893,0.451951334164602,0.370086068718873,"dom","Democratic","house of representatives","Committee on Financial Services","Male",69,16,0.277086481797278,"8","MA","L000562"
"Rep. Lynch, Stephen F. [D-MA-8]","116",16.981,44.0457,40.2011,0.403670551660753,0.167750195351282,0.435114232341084,0.39713458443769,"dom","Democratic","house of representatives","Committee on Financial Services","Male",69,18,0.24564564572362,"8","MA","L000562"
"Rep. Lynch, Stephen F. [D-MA-8]","117",23.7232,50.489,46.2173,0.325264681555936,0.196989260883393,0.419243221519087,0.383772499790333,"dom","Democratic","house of representatives","Committee on Financial Services","Male",69,20,0.145593900532791,"8","MA","L000562"
"Rep. Lynch, Stephen F. [D-MA-8]","118",20.294,49.3417,43.35,0.289021431882631,0.179615332532644,0.436706704110867,0.38367619322411,"dom","Democratic","house of representatives","Committee on Financial Services","Male",69,22,0.180324748589301,"8","MA","L000562"
"Rep. Mace, Nancy [R-SC-1]","117",24.4425,37.4747,42.8767,0.389965844986635,0.233243760604158,0.357604171239138,0.409153022411631,"prof","Republican","house of representatives","Committee on Oversight and Accountability","Female",47,0,0.58627210841851,"1","SC","M000194"
"Rep. Mace, Nancy [R-SC-1]","118",23.0325,43.8041,45.6762,0.341304969305197,0.204710041879679,0.389325481189696,0.405964476930625,"prof","Republican","house of representatives","Committee on Armed Services","Female",47,2,0.73287893785346,"1","SC","M000194"
